RecordID,SightDate,Year,Month,Time,Location,Location2,FishArea,Quadrant,ActualLatitude,ActualLongitude,Species,Count,Count_clean,Direction,Pod,LikelyPod,Comments,Channel,Source,ReportingParty,Harrassment,OCstranding,SJCstranding,FieldIvest,Hydrophone,StrandReport,Alive/Dead,Stranded
79813,8/25/1991,1991,8,15:53,6104,West Bank,7,149,0,0,Harbor porpoise,4,4,,,,,HDB,Researcher,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
79814,8/25/1991,1991,8,16:55,6104,N of,7,149,0,0,Harbor porpoise,1,1,,,,,HDB,Researcher,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
3397,6/1/2002,2002,6,16:20,6104,Fossil Bay,7,149,,,Harbor Porpoise,3,3,,,,,Email,Public,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
7065,9/5/2004,2004,9,16:00,6104,S side,7,149,,,Harbor Porpoise,2,2,,,,Swimming,Other,TWM,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
74746,6/27/1976,1976,6,17:06,4197,,7,150,0,0,Harbor porpoise,2,2,,,,,HDB,Researchers,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
74697,7/22/1978,1978,7,14:52,4197,,7,150,0,0,Harbor porpoise,2,2,,,,,Hotline,Public,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
74699,7/27/1978,1978,7,18:06,4197,,7,150,0,0,Harbor porpoise,7,7,NE,,,,Hotline,Public,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
74715,8/22/1984,1984,8,14:30,4197,,7,150,0,0,Harbor porpoise,2,2,NE,,,,HDB,Researcher,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
74730,6/24/1991,1991,6,14:00,4197,,7,150,0,0,Harbor porpoise,50+,50+,SW,,,,Hotline,Public,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
74731,7/11/1991,1991,7,12:44,4197,,7,150,0,0,Harbor porpoise,7,7,,,,,HDB,Researcher,,FALSE,FALSE,FALSE,FALSE,FALSE,,Alive,No
